Product Name_amazon,Price_amazon,Rating_amazon,No. of Ratings_amazon,Discount_amazon,Base Product Name,Simplified Product Name_amazon,Product Name_flipkart,Price_flipkart,Rating_flipkart,No. of Ratings_flipkart,Discount_flipkart,Simplified Product Name_flipkart,Score_amazon,Score_flipkart,Recommended Website
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage)",0.03222241673596219,0.49999999999999956,791.0,(17% off),realme narzo n65 5g,realme narzo n65 5g amber 6gb ram 128gb storage,"Infinix SMART 8 (Galaxy White, 128 GB)",0.0,0.6666666666666661,"9,055 Ratings & 527 Reviews",27% off,infinix smart 8 galaxy,0.7338887916320187,0.833333333333333,Flipkart
"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage)",0.14984791456956542,0.10000000000000009,268.0,(8% off),samsung galaxy a35 5g,samsung galaxy a35 5g awesome navy 8gb ram 256gb storage,"Infinix Smart 8 Plus (Galaxy White, 128 GB)",0.0,0.6666666666666661,"6,687 Ratings & 395 Reviews",22% off,infinix smart 8 galaxy,0.4750760427152173,0.833333333333333,Flipkart
"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage)",0.14984791456956542,0.10000000000000009,268.0,(8% off),samsung galaxy a35 5g,samsung galaxy a35 5g awesome navy 8gb ram 256gb storage,"Infinix Smart 8 Plus (Galaxy White, 128 GB)",0.0,0.6666666666666661,"6,687 Ratings & 395 Reviews",22% off,infinix smart 8 galaxy,0.4750760427152173,0.833333333333333,Flipkart
